integration,metric_name,metric_type,metric_enabled,metric_description
Cassandra,db.threadpool.requestCounterMutationStagePendingTasks,gauge,true,
Cassandra,db.threadpool.requestReadStagePendingTasks,gauge,true,
Cassandra,db.droppedTraceMessagesPerSecond,rate,true,
Cassandra,db.commitLogCompletedTasksPerSecond,rate,true,
Cassandra,query.readLatency75thPercentileMilliseconds,gauge,true,
Cassandra,db.droppedBatchStoreMessagesPerSecond,rate,true,
Cassandra,db.rowCacheRequestsPerSecond,gauge,true,
Cassandra,db.threadpool.internalMemtableFlushWriterCompletedTasks,gauge,true,
Cassandra,db.rowCacheHitRate,gauge,true,
Cassandra,db.threadpool.requestReadStageCurrentlyBlockedTasks,gauge,true,
Cassandra,db.threadpool.internalMemtablePostFlushCompletedTasks,gauge,true,
Cassandra,db.rowCacheHitsPerSecond,gauge,true,
Cassandra,db.threadpool.internalMigrationStageCompletedTasks,gauge,true,
Cassandra,db.threadpool.internalMiscStageCompletedTasks,gauge,true,
Cassandra,query.rangeSliceUnavailablesPerSecond,gauge,true,
Cassandra,db.threadpool.internalCacheCleanupExecutorActiveTasks,gauge,true,
Cassandra,db.threadpool.internalMiscStagePendingTasks,gauge,true,
Cassandra,db.droppedRangeSliceMessagesPerSecond,rate,true,
Cassandra,db.loadBytes,gauge,true,
Cassandra,db.threadpool.requestMutationStageCompletedTasks,gauge,true,
Cassandra,db.threadpool.requestRequestResponseStageCompletedTasks,gauge,true,
Cassandra,db.threadpool.internalHintsDispatcherCurrentlyBlockedTasks,gauge,true,
Cassandra,db.threadpool.requestMutationStageActiveTasks,gauge,true,
Cassandra,db.threadpool.requestViewMutationStageActiveTasks,gauge,true,
Cassandra,db.threadpool.internalCacheCleanupExecutorPendingTasks,gauge,true,
Cassandra,db.threadpool.internalMigrationStagePendingTasks,gauge,true,
Cassandra,db.threadpool.internalMiscStageCurrentlyBlockedTasks,gauge,true,
Cassandra,db.threadpool.internalSamplerCompletedTasks,gauge,true,
Cassandra,db.droppedReadRepairMessagesPerSecond,rate,true,
Cassandra,db.threadpool.internalGossipStageCurrentlyBlockedTasks,gauge,true,
Cassandra,db.threadpool.internalMemtableReclaimMemoryCompletedTasks,gauge,true,
Cassandra,query.readLatency95thPercentileMilliseconds,gauge,true,
Cassandra,db.threadpool.internalHintsDispatcherActiveTasks,gauge,true,
Cassandra,db.threadpool.internalSamplerActiveTasks,gauge,true,
Cassandra,db.threadpool.internalSamplerPendingTasks,gauge,true,
Cassandra,db.threadpool.internalCompactionExecutorCurrentlyBlockedTasks,gauge,true,
Cassandra,query.writeLatency999thPercentileMilliseconds,gauge,true,
Cassandra,query.writeLatency75thPercentileMilliseconds,gauge,true,
Cassandra,db.threadpool.internalMemtablePostFlushPendingTasks,gauge,true,
Cassandra,db.rowCacheSizeBytes,gauge,true,
Cassandra,db.threadpool.internalMemtableFlushWriterCurrentlyBlockedTasks,gauge,true,
Cassandra,query.writeTimeoutsPerSecond,rate,true,
Cassandra,db.threadpool.requestRequestResponseStagePendingTasks,gauge,true,
Cassandra,db.threadpool.internalHintsDispatcherPendingTasks,gauge,true,
Cassandra,db.totalHintsPerSecond,rate,true,
Cassandra,query.readRequestsPerSecond,gauge,true,
Cassandra,query.writeLatency99thPercentileMilliseconds,gauge,true,
Cassandra,db.threadpool.internalMemtableFlushWriterPendingTasks,gauge,true,
Cassandra,db.threadpool.requestMutationStageCurrentlyBlockedTasks,gauge,true,
