entity type,inventory source,inventory path
node,conf/cassandra,role_manager
node,conf/cassandra,roles_validity_in_ms
node,conf/cassandra,thrift_prepared_statements_cache_size_mb
node,conf/cassandra,row_cache_save_period
node,conf/cassandra,concurrent_writes
node,conf/cassandra,rpc_keepalive
node,conf/cassandra,hinted_handoff_enabled
node,conf/cassandra,authorizer
node,conf/cassandra,inter_dc_tcp_nodelay
node,conf/cassandra,tracetype_query_ttl
node,conf/cassandra,gc_warn_threshold_in_ms
node,conf/cassandra,compaction_throughput_mb_per_sec
node,conf/cassandra,dynamic_snitch_update_interval_in_ms
node,conf/cassandra,broadcast_address
node,conf/cassandra,broadcast_rpc_address
node,conf/cassandra,request_timeout_in_ms
node,conf/cassandra,server_encryption_options
node,conf/cassandra,server_encryption_options
node,conf/cassandra,server_encryption_options
node,conf/cassandra,server_encryption_options
node,conf/cassandra,server_encryption_options
node,conf/cassandra,tombstone_warn_threshold
node,conf/cassandra,compaction_large_partition_warning_threshold_mb
node,conf/cassandra,commit_failure_policy
node,conf/cassandra,commitlog_sync
node,conf/cassandra,trickle_fsync_interval_in_kb
node,conf/cassandra,start_native_transport
node,conf/cassandra,column_index_cache_size_in_kb
node,conf/cassandra,dynamic_snitch_reset_interval_in_ms
node,conf/cassandra,internode_compression
node,conf/cassandra,counter_cache_save_period
node,conf/cassandra,transparent_data_encryption_options
node,conf/cassandra,transparent_data_encryption_options
node,conf/cassandra,transparent_data_encryption_options
node,conf/cassandra,transparent_data_encryption_options
node,conf/cassandra,tracetype_repair_ttl
node,conf/cassandra,enable_materialized_views
node,conf/cassandra,snapshot_before_compaction
node,conf/cassandra,windows_timer_interval
node,conf/cassandra,credentials_validity_in_ms
node,conf/cassandra,disk_failure_policy
node,conf/cassandra,rpc_address
node,conf/cassandra,incremental_backups
node,conf/cassandra,cdc_enabled
node,conf/cassandra,key_cache_size_in_mb
node,conf/cassandra,commitlog_directory
node,conf/cassandra,row_cache_size_in_mb
node,conf/cassandra,ssl_storage_port
node,conf/cassandra,back_pressure_enabled
node,conf/cassandra,hints_flush_period_in_ms
node,conf/cassandra,max_hints_file_size_in_mb
node,conf/cassandra,cas_contention_timeout_in_ms
node,conf/cassandra,tombstone_failure_threshold
node,conf/cassandra,batch_size_warn_threshold_in_kb
node,conf/cassandra,counter_cache_size_in_mb
node,conf/cassandra,column_index_size_in_kb
node,conf/cassandra,concurrent_counter_writes
node,conf/cassandra,storage_port
node,conf/cassandra,rpc_server_type
node,conf/cassandra,sstable_preemptive_open_interval_in_mb
node,conf/cassandra,range_request_timeout_in_ms
node,conf/cassandra,enable_user_defined_functions
node,conf/cassandra,key_cache_save_period
node,conf/cassandra,commitlog_sync_period_in_ms
node,conf/cassandra,saved_caches_directory
node,conf/cassandra,start_rpc
node,conf/cassandra,cluster_name
node,conf/cassandra,max_hint_window_in_ms
node,conf/cassandra,write_request_timeout_in_ms
node,conf/cassandra,truncate_request_timeout_in_ms
node,conf/cassandra,slow_query_log_timeout_in_ms
node,conf/cassandra,num_tokens
node,conf/cassandra,authenticator
node,conf/cassandra,prepared_statements_cache_size_mb
node,conf/cassandra,endpoint_snitch
node,conf/cassandra,unlogged_batch_across_partitions_warn_threshold
node,conf/cassandra,batchlog_replay_throttle_in_kb
node,conf/cassandra,permissions_validity_in_ms
node,conf/cassandra,listen_address
node,conf/cassandra,counter_write_request_timeout_in_ms
node,conf/cassandra,commitlog_segment_size_in_mb
node,conf/cassandra,concurrent_reads
node,conf/cassandra,enable_scripted_user_defined_functions
node,conf/cassandra,batch_size_fail_threshold_in_kb
node,conf/cassandra,hinted_handoff_throttle_in_kb
node,conf/cassandra,read_request_timeout_in_ms
node,conf/cassandra,native_transport_port
node,conf/cassandra,rpc_port
node,conf/cassandra,memtable_allocation_type
node,conf/cassandra,trickle_fsync
node,conf/cassandra,concurrent_materialized_view_writes
node,conf/cassandra,index_summary_capacity_in_mb
node,conf/cassandra,auto_snapshot
node,conf/cassandra,cross_node_timeout
node,conf/cassandra,dynamic_snitch_badness_threshold
node,conf/cassandra,client_encryption_options
node,conf/cassandra,client_encryption_options
node,conf/cassandra,client_encryption_options
node,conf/cassandra,client_encryption_options
node,conf/cassandra,max_hints_delivery_threads
node,conf/cassandra,partitioner
node,conf/cassandra,request_scheduler
node,conf/cassandra,index_summary_resize_interval_in_minutes
node,conf/cassandra,thrift_framed_transport_size_in_mb
